ts_utc,domain,reason,attempts
2026-02-12T16:17:16+00:00,19thnews.org,NOT_FOUND,https/.well-known/trust.txt:client_error:ClientPayloadError;https/trust.txt:client_error:ClientPayloadError;http/.well-known/trust.txt:client_error:ClientPayloadError;http/trust.txt:client_error:ClientPayloadError
2026-02-12T16:17:23+00:00,aaja.org,NOT_FOUND_404,https/.well-known/trust.txt:client_error:ClientPayloadError;https/trust.txt:client_error:ClientPayloadError;http/.well-known/trust.txt:404;http/trust.txt:404
2026-02-12T16:17:27+00:00,adfontesmedia.com,NOT_FOUND_404,https/.well-known/trust.txt:403;https/trust.txt:404:oversize>256KB;http/.well-known/trust.txt:403;http/trust.txt:503
2026-02-12T16:17:29+00:00,ajhaonline.org,NETWORK_CONNECTOR,https/.well-known/trust.txt:client_error:ClientConnectorError;https/trust.txt:client_error:ClientConnectorError;http/.well-known/trust.txt:400;http/trust.txt:400
2026-02-12T16:17:33+00:00,ajpa.org,NOT_FOUND_404,https/.well-known/trust.txt:403;https/trust.txt:404;http/.well-known/trust.txt:403;http/trust.txt:404
2026-02-12T16:17:38+00:00,asme.media,HTML_FALSE_POSITIVE,https/.well-known/trust.txt:200:HTML_FALSE_POSITIVE;https/trust.txt:404;http/.well-known/trust.txt:200:HTML_FALSE_POSITIVE;http/trust.txt:404
2026-02-12T16:17:41+00:00,bettergov.org,NOT_FOUND,https/.well-known/trust.txt:client_error:ClientPayloadError;https/trust.txt:client_error:ClientPayloadError;http/.well-known/trust.txt:client_error:ClientPayloadError;http/trust.txt:client_error:ClientPayloadError
2026-02-12T16:17:54+00:00,citymag.org,NOT_FOUND_404,https/.well-known/trust.txt:404;https/trust.txt:404;http/.well-known/trust.txt:404;http/trust.txt:404
2026-02-12T16:17:57+00:00,cpj.org,NOT_FOUND,https/.well-known/trust.txt:client_error:ClientPayloadError;https/trust.txt:client_error:ClientPayloadError;http/.well-known/trust.txt:client_error:ClientPayloadError;http/trust.txt:client_error:ClientPayloadError
2026-02-12T16:18:00+00:00,dinfos.dma.mil,NETWORK_CONNECTOR,https/.well-known/trust.txt:client_error:ClientConnectorError;https/trust.txt:client_error:ClientConnectorError;http/.well-known/trust.txt:client_error:ClientConnectorError;http/trust.txt:client_error:ClientConnectorError
2026-02-12T16:18:03+00:00,eenews.net,NOT_FOUND_404,https/.well-known/trust.txt:client_error:ClientPayloadError;https/trust.txt:client_error:ClientPayloadError;http/.well-known/trust.txt:404;http/trust.txt:404
2026-02-12T16:18:05+00:00,fallenjournalists.org,NOT_FOUND_404,https/.well-known/trust.txt:client_error:ClientPayloadError;https/trust.txt:client_error:ClientPayloadError;http/.well-known/trust.txt:404;http/trust.txt:404
2026-02-12T16:18:06+00:00,fcir.org,NETWORK_CONNECTOR,https/.well-known/trust.txt:client_error:ClientConnectorError;https/trust.txt:client_error:ClientConnectorError;http/.well-known/trust.txt:client_error:ClientPayloadError;http/trust.txt:client_error:ClientPayloadError
2026-02-12T16:18:10+00:00,firstdraftnews.org,HTML_FALSE_POSITIVE,https/.well-known/trust.txt:404;https/trust.txt:200:HTML_FALSE_POSITIVE;http/.well-known/trust.txt:404;http/trust.txt:200:HTML_FALSE_POSITIVE
2026-02-12T16:18:12+00:00,franklinnews.org,NOT_FOUND_404,https/.well-known/trust.txt:404;https/trust.txt:404;http/.well-known/trust.txt:404;http/trust.txt:404
2026-02-12T16:18:16+00:00,freebeacon.com,NOT_FOUND_404,https/.well-known/trust.txt:404;https/trust.txt:404;http/.well-known/trust.txt:404;http/trust.txt:404
2026-02-12T16:18:18+00:00,globalpress.co,NOT_FOUND,https/.well-known/trust.txt:client_error:ClientPayloadError;https/trust.txt:client_error:ClientPayloadError;http/.well-known/trust.txt:client_error:ClientPayloadError;http/trust.txt:client_error:ClientPayloadError
2026-02-12T16:18:21+00:00,hillmanfoundation.org,NOT_FOUND_404,https/.well-known/trust.txt:404;https/trust.txt:404;http/.well-known/trust.txt:404;http/trust.txt:404
2026-02-12T16:18:39+00:00,indigenousjournalists.org,NOT_FOUND,https/.well-known/trust.txt:client_error:ClientPayloadError;https/trust.txt:client_error:ClientPayloadError;http/.well-known/trust.txt:client_error:ClientPayloadError;http/trust.txt:client_error:ClientPayloadError
2026-02-12T16:18:42+00:00,jsk.stanford.edu,NOT_FOUND_404,https/.well-known/trust.txt:404;https/trust.txt:404;http/.well-known/trust.txt:404;http/trust.txt:404
2026-02-12T16:18:45+00:00,mdif.org,NOT_FOUND,https/.well-known/trust.txt:client_error:ClientPayloadError;https/trust.txt:client_error:ClientPayloadError;http/.well-known/trust.txt:client_error:ClientPayloadError;http/trust.txt:client_error:ClientPayloadError
2026-02-12T16:18:49+00:00,montanafreepress.org,NOT_FOUND,https/.well-known/trust.txt:client_error:ClientPayloadError;https/trust.txt:client_error:ClientPayloadError;http/.well-known/trust.txt:client_error:ClientPayloadError;http/trust.txt:client_error:ClientPayloadError
2026-02-12T16:18:59+00:00,mvj.network,NOT_FOUND,https/.well-known/trust.txt:client_error:ClientPayloadError;https/trust.txt:client_error:ClientPayloadError;http/.well-known/trust.txt:client_error:ClientPayloadError;http/trust.txt:client_error:ClientPayloadError
2026-02-12T16:19:04+00:00,nabjonline.org,NOT_FOUND,https/.well-known/trust.txt:client_error:ClientPayloadError;https/trust.txt:client_error:ClientPayloadError;http/.well-known/trust.txt:client_error:ClientPayloadError;http/trust.txt:client_error:ClientPayloadError
2026-02-12T16:19:08+00:00,nationalpress.org,NOT_FOUND_404,https/.well-known/trust.txt:404;https/trust.txt:404;http/.well-known/trust.txt:404;http/trust.txt:404
2026-02-12T16:19:11+00:00,newsguild.org,NOT_FOUND_404,https/.well-known/trust.txt:client_error:ClientPayloadError;https/trust.txt:client_error:ClientPayloadError;http/.well-known/trust.txt:404;http/trust.txt:404
